uid,canonical_name,variant
25,Barry Phillips Moore,Barry Moore
32,Patricio Rodriguez Chi,Patricio Chi
38,Jaime Pinto Bravo,Jaime Bravo
102,Joaquin Loyo Mayo,Joaquin Mayo
148,Ismail El Shafei,Ismail Shafei
231,Erik Van Dillen,Erik Dillen
302,Joaquim Rasgado Jr,Joaquim Jr
351,Freddie De Jesus,Freddie Jesus
460,Jose Lopez Maeso,Jose Maeso
486,Christophe Roger-Vasselin,Christophe Roger Vasselin
486,Christophe Roger-Vasselin,Christophe Vasselin
502,Vincent Van Patten,Vincent Patten
592,Robert Vant Hof,Robert Hof
601,Ricardo Sanchez Rueda,Ricardo Rueda
641,Jan Van Langendonck,Jan Langendonck
645,Huub Van Boeckel,Huub Boeckel
705,Erik Vant Hof,Erik Hof
738,Schalk Van Der Merwe,Schalk Merwe
754,Rafael Avalos Brenes,Rafael Brenes
758,John Van Nostrand,John Nostrand
780,Mike De Palmer,Mike Palmer
796,Ahmed El Mehelmy,Ahmed Mehelmy
804,Henri De Wet,Henri Wet
814,Joan Roura Agusti,Joan Agusti
819,Daniel Montes De Oca,Daniel De Oca
819,Daniel Montes De Oca,Daniel Oca
870,Christo Van Rensburg,Christo Rensburg
889,Joe De Foor,Joe Foor
905,Sammy Giammalva Jr,Sammy Jr
951,Alessandro De Minicis,Alessandro Minicis
1025,Bruce Man Son Hing,Bruce Hing
1074,Carlos Di Laura,Carlos Laura
1110,David De Miguel,David Miguel
1255,Greg Van Emburgh,Greg Emburgh
1257,Vincent Van Gelderen,Vincent Gelderen
1276,Horacio De La Pena,Horacio Pena
1302,Ola Jonsson J092,Ola J092
1446,Ramiro Garcia Malbran,Ramiro Malbran
1486,Victor Lopez Moron,Victor Moron
1518,Sandro Della Piana,Sandro Piana
1520,Guido Van Rompaey,Guido Rompaey
1539,Alberto Gutierrez G230,Alberto G230
1544,Marcos Perez Hubert,Marcos Hubert
1551,Carlos Gomez Diaz,Carlos Diaz
1604,Stefan Van Schalkwyk,Stefan Schalkwyk
1619,David Wells Roth,David Roth
1627,Marco Van Trigt,Marco Trigt
1649,Guillermo Perez Roldan,Guillermo Roldan
1671,Dede Suhendar Dinata,Dede Dinata
1678,Alexander Lindholm L174,Alexander L174
1702,Michael De Jongh,Michael Jongh
1729,Gunter Van Der Veeren,Gunter Veeren
1763,Rodolfo Ramos Paganini,Rodolfo Paganini
1791,Riva Da Silva,Riva Silva
1795,David Perez Lalanda,David Lalanda
1815,Sergio Gomez Barrio,Sergio Barrio
1826,Alex Lopez Moron,Alex Moron
1827,Jamie Turturici T225,Jamie T225
1895,Michael Brown B395,Michael B395
1936,Denis Van Uffelen,Denis Uffelen
1962,Younes El Aynaoui,Younes Aynaoui
1966,Alfonso Fernandez Fermoselle,Alfonso Fermoselle
2018,Tamer El Sawy,Tamer Sawy
2026,Jan Kodes Jr,Jan Jr
2046,Giancarlo Di Meo,Giancarlo Meo
2052,Christian De Los Rios,Christian Rios
2081,Brett Hansen Dent,Brett Dent
2091,Luis Ernesto Peon Sr,Luis Peon Sr
2091,Luis Ernesto Peon Sr,Luis Sr
2111,Diego Del Rio,Diego Rio
2135,Emilio Benfele Alvarez,Emilio Alvarez
2155,Oscar Del Amo,Oscar Amo
2167,Juan Albert Viloca Puig,Juan Puig
2167,Juan Albert Viloca Puig,Juan Viloca Puig
2187,John Laffnie De Jager,John De Jager
2187,John Laffnie De Jager,John Jager
2273,David Salvador Estepa,David Estepa
2279,Gehad El Deeb,Gehad Deeb
2280,Steeve El Haik,Steeve Haik
2285,Nasser Ghanim Al Khulaifi,Nasser Al Khulaifi
2285,Nasser Ghanim Al Khulaifi,Nasser Khulaifi
2291,Paul Robinson R261,Paul R261
2312,Jairo Velasco Jr,Jairo Jr
2320,Lazaro Navarro Batles,Lazaro Batles
2324,Bart De Buyser,Bart Buyser
2328,Guillaume De Verbizier,Guillaume Verbizier
2378,Juan Gisbert Jr,Juan Jr
2394,Johan Van Herck,Johan Herck
2399,Xxxxxxx Imaz Ruiz,Xxxxxxx Ruiz
2402,Alberto Banus Sado,Alberto Sado
2419,Christophe Van Garsse,Christophe Garsse
2445,Juan Sebastian Martinez Nunez,Juan Martinez Nunez
2534,Louis Van Huyssteen,Louis Huyssteen
2603,Melvyn Op Der Heijde,Melvyn Der Heijde
2603,Melvyn Op Der Heijde,Melvyn Heijde
2611,Rafael Serpa Guinazu,Rafael Guinazu
2615,Dennis Van Scheppingen,Dennis Scheppingen
2661,Tom Van Beek,Tom Beek
2666,Thomas Strengberger S597,Thomas S597
2678,Jonathan Garcia Leo,Jonathan Leo
2702,Relja Fiser Dulic,Relja Dulic
2714,Ekkarin Pisuth Arnonth,Ekkarin Arnonth
2727,Xxxxxxx Garcia Mex,Xxxxxxx Mex
2757,Nunzio Di Pietro,Nunzio Pietro
2770,John Van Lottum,John Lottum
2826,Muhammad Khaliq Siddiq,Muhammad Siddiq
2829,Alberto Lopez Nunez,Alberto Nunez
2848,Javier Perez Vazquez,Javier Vazquez
2890,Oscar Rodriguez Arg,Oscar Arg
2914,Damian Di Noto,Damian Noto
2917,Xxxxxxx Ben Sadou,Xxxxxxx Sadou
2931,Daniel Lencina Ribes,Daniel Ribes
2972,Olivier Le Jeune,Olivier Jeune
2973,Ruben De Kleijn,Ruben Kleijn
3007,Mounir El Aarej,Mounir Aarej
3035,Alessio Di Mauro,Alessio Mauro
3043,Coenie Van Wyk,Coenie Wyk
3049,Sebastian Da Costa,Sebastian Costa
3050,Shahab Hassani Nafez,Shahab Nafez
3056,Greg Hill Usa,Greg Usa
3063,Sebastien De Chaunac,Sebastien Chaunac
3067,Alberto Gonzalez G419,Alberto G419
3069,Anthony La Porte,Anthony Porte
3072,Jean Marcel Bourgaul Du Coudray,Jean Bourgaul Du Coudray
3072,Jean Marcel Bourgaul Du Coudray,Jean Coudray
3072,Jean Marcel Bourgaul Du Coudray,Jean Du Coudray
3081,Fernando Las Heras,Fernando Heras
3098,Johan Du Randt,Johan Randt
3105,Ruben Ramirez Hidalgo,Ruben Hidalgo
3125,Joan Jimenez Guerra,Joan Guerra
3134,Juan Camilo Gamboa,Juan Gamboa
3156,Alessandro Da Col,Alessandro Col
3173,Tobias Steinel Hansson,Tobias Hansson
3186,Emilio Viuda Hernandez,Emilio Hernandez
3205,Emilio Daniel Baez Britez,Emilio Baez Britez
3205,Emilio Daniel Baez Britez,Emilio Britez
3251,Pablo Garcia Gaitan,Pablo Gaitan
3266,Matthis Kempe Bergman,Matthis Bergman
3279,Syed Akram Zaman,Syed Zaman
3288,Javier Martinez Baena,Javier Baena
3324,Arnaud Di Pasquale,Arnaud Pasquale
3365,Javier Garcia Sintes,Javier Sintes
3369,Melle Van Gemerden,Melle Gemerden
3388,Rafael De Mesa,Rafael Mesa
3390,Artemon Apostu Efremov,Artemon Efremov
3396,Sergio Barberan Miguel,Sergio Miguel
3399,Carlos Rexach Itoiz,Carlos Itoiz
3400,Hendri Susilo Pramono,Hendri Pramono
